iso3,label,sublabel,latitude,longitude
CA,THUNDER BAY,,48.4,-89.233333
TG,LOME,,6.133333,1.283333
ID,UJUNG PANDANG,,-5.133333,119.4
CA,COBOURG,,43.95,-78.166667
CA,PORT HOPE,,43.933333,-78.283333
CA,OSHAWA,,43.866667,-78.816667
CA,PORT WHITBY,,43.85,-78.933333
CA,PORT CREDIT,,43.55,-79.583333
CA,OAKVILLE,,43.433333,-79.666667
CA,BRONTE,,43.4,-79.716667
CA,PORT DALHOUSIE,,43.216667,-79.266667
EE,MUUGA-PORT OF TALLIN,,59.5,24.95
EE,TALLINN,,59.45,24.766667
EE,PALDISKI,,59.35,24.033333
NL,SCHEVENINGEN,,52.1,4.266667
IL,ASHDOD,,31.816667,34.65
IL,HAIFA,,32.816667,35
JP,NAHA KO,,26.216667,127.683333
QM,MIDWAY ISLAND,,28.183333,-177.366667
CA,STEPHENVILLE,,48.533333,-58.533333
BE,ZEEBRUGGE,,51.333333,3.2
CW,WILLEMSTAD,,12.116667,-68.933333
MZ,PEMBA,,-12.966667,40.5
YE,AL AHMADI,,14.833333,42.966667
YE,SALIF,,15.3,42.666667
SO,MUQDISHO,,2.033333,45.35
SO,KISMAAYO,,-0.366667,42.55
GN,CONAKRY,,9.516667,-13.716667
GB,HEYSHAM,,54.033333,-2.916667
RO,MANGALIA,,43.816667,28.583333
RO,CONSTANTA,,44.166667,28.65
BJ,COTONOU,,6.35,2.433333
GB,ROTHESAY HARBOR,,55.833333,-5.05
GB,ARDROSSAN,,55.65,-4.816667
GB,TROON,,55.55,-4.683333
KP,HUNGNAM,,39.833333,127.616667
KP,CH'AHO,,40.2,128.65
TW,CHI-LUNG,,25.133333,121.766667
TW,SU-AO,,24.6,121.866667
TW,HUA-LIEN KANG,,23.983333,121.6
TW,KAO-HSIUNG,,22.616667,120.25
TW,MAILIAO,,23.783333,120.166667
GR,ORMOS ALIVERIOU,,38.383333,24.05
GR,VOLOS,,39.366667,22.95
GR,ALEXANDROUPOLI,,40.833333,25.883333
GR,NAVPLIO,,37.566667,22.8
GR,AYIOS NIKOLAOS,,37.983333,23.533333
GR,PIRAIEVS,,37.933333,23.65
GR,LAVRIO,,37.7,24.066667
GR,KAVALA,,40.933333,24.4
IR,BANDAR-E SHAHID REAJIE,,27.1,56.066667
IR,BANDAR ABBAS,,27.15,56.2
PL,PORT POLNOCHNY,,54.4,18.716667
PL,GDYNIA,,54.533333,18.55
UY,MONTEVIDEO,,-34.9,-56.216667
GT,PUERTO QUETZAL,,13.916667,-90.8
DK,RUDKOBING,,54.95,10.716667
SD,PORT SUDAN,,19.6,37.233333
PT,PORTO DE LEIXOES,,41.183333,-8.7
PT,SINES,,37.95,-8.866667
AU,PORT LINCOLN,,-34.716667,135.85
AU,ESPERANCE,,-33.866667,121.9
AU,BUNBURY,,-33.316667,115.633333
AU,FREMANTLE,,-32.05,115.75
AU,GERALDTON,,-28.783333,114.6
AU,DAMPIER,,-20.633333,116.716667
AU,WHYALLA,,-33.033333,137.583333
AU,NEWCASTLE,,-32.916667,151.783333
AU,PORT KEMBLA,,-34.483333,150.916667
AU,EDEN,,-37.066667,149.916667
AU,WARRNAMBOOL,,-38.4,142.483333
AU,PORTLAND,,-38.333333,141.6
AU,KINGSCOTE,,-35.633333,137.633333
AU,TOWNSVILLE,,-19.266667,146.816667
AU,MACKAY,,-21.116667,149.216667
NA,LUDERITZ BAY,,-26.65,15.15
GB,DOUGLAS,,54.15,-4.466667
GB,RAMSEY,,54.316667,-4.366667
CV,PORTO DA PRAIA,,14.916667,-23.516667
CU,MARIEL,,22.983333,-82.75
CU,BAHAI DE LA HABANA,,23.133333,-82.366667
CU,CAYO MOA GRANDE,,20.666667,-74.9
IE,ROSSLARE,,52.25,-6.333333
IE,DUBLIN,,53.35,-6.25
TN,LA GOULETTE,,36.8,10.3
TN,BANZART,,37.283333,9.883333
TN,MERSA SFAX,,34.733333,10.766667
TN,SOUSSE,,35.833333,10.65
TN,GABES,,33.9,10.116667
TN,ZARZIS,,33.5,11.116667
TN,RADES,,36.816667,10.3
TN,TABARKA,,36.966667,8.766667
AW,PAARDEN BAAI - (ORANJESTAD),,12.516667,-70.033333
AW,SINT NICOLAAS BAAI,,12.433333,-69.916667
IT,TORRE ANNUNZIATA,,40.75,14.45
IT,CASTELLAMMARE DI STABIA,,40.7,14.483333
IT,SALERNO,,40.666667,14.75
IT,VIBO VALENTIA MARINA,,38.716667,16.133333
IT,REGGIO DI CALABRIA,,38.116667,15.65
IT,PORTOVECCHIO DI PIOMBINO,,42.933333,10.55
IT,PORTO SANTO STEFANO,,42.433333,11.116667
IT,CIVITAVECCHIA,,42.1,11.783333
IT,ANZIO,,41.45,12.633333
IT,GAETA,,41.2,13.583333
IT,POZZUOLI,,40.816667,14.116667
IT,NAPOLI,,40.85,14.266667
SE,STROMSTAD,,58.933333,11.166667
SE,LYSEKIL,,58.266667,11.433333
SE,VARBERG,,57.116667,12.25
SE,FALKENBERG,,56.9,12.5
SE,HALMSTAD,,56.666667,12.866667
SE,HOGANAS,,56.2,12.55
SE,HELSINGBORG,,56.05,12.7
SE,MALMO,,55.616667,13
SE,LIMHAMN,,55.583333,12.933333
SE,TRELLEBORG,,55.366667,13.15
SE,YSTAD,,55.433333,13.833333
SE,KARLSKRONA,,56.166667,15.6
SE,KALMAR,,56.666667,16.366667
FR,PORT-VENDRES,,42.516667,3.116667
FR,SETE,,43.4,3.7
FR,FOS,,43.416667,4.883333
FR,PORT-DE-BOUC,,43.4,4.983333
FR,MARSEILLE,,43.316667,5.366667
FR,SAINT-TROPEZ,,43.266667,6.633333
FR,SAINT-RAPHAEL,,43.416667,6.766667
FR,ANTIBES,,43.583333,7.133333
FR,NICE,,43.7,7.283333
FR,VILLEFRANCHE,,43.7,7.316667
FR,TOULON,,43.1,5.916667
RE,PORT EST,,-20.933333,55.316667
RE,PORT OUEST,,-20.933333,55.283333
CA,GODERICH,,43.75,-81.733333
CA,PORT ELGIN,,44.433333,-81.4
CA,SOUTHAMPTON,,44.5,-81.383333
CA,LIONS HEAD,,44.983333,-81.25
CA,MEAFORD,,44.616667,-80.6
CA,THORNBURY,,44.566667,-80.45
CA,COLLINGWOOD,,44.5,-80.233333
CA,THESSALON,,46.25,-83.566667
ES,ROTA,,36.616667,-6.333333
ES,CADIZ,,36.533333,-6.3
ES,ALGECIRAS,,36.133333,-5.433333
MY,KUANTAN NEW PORT,,3.966667,103.433333
LK,COLOMBO,,6.95,79.85
LK,GALLE HARBOR,,6.016667,80.216667
IS,REYKJAVIK,,64.15,-21.933333
IS,GRUNDARTANGI,,64.266667,-22
IS,BOLUNGAVIK,,66.166667,-23.233333
TR,ALIAGA,,38.833333,26.933333
EG,DAMIETTA,,31.483333,31.75
EG,MERSA MATRUH,,31.35,27.233333
EG,EL MAADIYA,,31.266667,30.15
EG,AL ISKANDARIYH (ALEXANDRIA),,31.166667,29.833333
YE,AL MUKALLA,,14.516667,49.116667
DK,RINGKOBING,,56.083333,8.25
DK,THYBORON,,56.7,8.216667
DK,ABENRA,,55.05,9.433333
