mismatch_location,s2id,lat,lon,label,sublabel,iso3,distance_from_shore_m,label_source,drift_radius,total_visits,unique_total_ssvid,unique_active_ssvid,active_ssvid_days,unique_stationary_ssvid,stationary_ssvid_days,stationary_fishing_ssvid_days,unique_stationary_fishing_ssvid,top_destination,dock,source
Only in scratch_amanda,07e9f691,-2.8196010887669303,-40.21434247965624,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07ea02c5,-2.885213289141529,-40.13247399583807,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07ea02b9,-2.8774308057722573,-40.13247399583807,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07ea029b,-2.870297444307495,-40.11711114192977,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07ea02c7,-2.8813218437218646,-40.13247399583808,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07e9f69b,-2.8193886776999975,-40.21945552463481,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07e9ff23,-2.842171791856798,-40.04536565135308,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07ea02e7,-2.8895397243387295,-40.12223253194588,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07e9ff3b,-2.845849983158777,-40.05049317698218,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,07e9f697,-2.81572082932098,-40.21434247965624,ACARAU,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,91166341,-15.351587799115045,-75.17376931061946,ACARI,,PER,0.0,anchorage_overrides,,,,,,0,,,0,,,PER
Only in scratch_amanda,962207a1,-42.46888888888889,-73.49069444444444,ACHAO,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,bdb2831b,-53.40277777777778,-70.98583333333333,AGUA FRESCA,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,96187005,-41.77911111111111,-73.28741666666666,AGUANTAO,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,961f525d,-42.60469444444445,-73.30108333333332,ALAO,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,0734e6f9,-17.534859790590858,-39.19857228234076,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e7a7,-17.55567477413569,-39.19337334521225,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e709,-17.55445558828816,-39.19857228234076,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
