label,lat,lon,iso3
vnm_218,10.54515882,108.9610866,VNM
vnm_219,10.54573235,108.9636569,VNM
vnm_220,10.55120629,108.9632142,VNM
vnm_221,10.5519048,108.9615434,VNM
vnm_226,10.65044831,107.7770924,VNM
vnm_227,10.65246597,107.7751899,VNM
La Gi Fishing Port,10.65462851,107.7758731,VNM
vnm_229,10.65965242,107.7767025,VNM
vnm_230,10.67862939,106.7538686,VNM
vnm_233,10.7052114,107.9982857,VNM
Phan Thiet Fishing Port,10.92041923,108.1028173,VNM
Phu Hai Fishing Port,10.9306896,108.1360389,VNM
vnm_237,10.93398654,108.277017,VNM
vnm_238,10.93403097,108.2798125,VNM
vnm_240,11.14433276,108.5333636,VNM
vnm_243,11.15115792,108.5257815,VNM
vnm_246,11.15813718,108.560328,VNM
Phan Ri Cua Fishing Port,11.16611133,108.563046,VNM
vnm_248,11.16823881,108.702769,VNM
vnm_249,11.1692855,108.5623652,VNM
vnm_250,11.17364072,108.6098607,VNM
vnm_251,11.17373014,108.6981535,VNM
vnm_252,11.17417206,108.6124534,VNM
vnm_253,11.1771491,108.7013116,VNM
vnm_254,11.1771824,108.6126458,VNM
vnm_255,11.17719027,108.6102958,VNM
vnm_256,11.17781939,108.6983858,VNM
vnm_257,11.17918386,108.6932128,VNM
vnm_258,11.18183586,108.6924171,VNM
vnm_260,11.21340872,108.7392763,VNM
vnm_261,11.21344455,108.7434064,VNM
vnm_262,11.21817693,108.7402567,VNM
vnm_263,11.2183845,108.7437065,VNM
vnm_264,11.22035858,108.8225057,VNM
vnm_265,11.2216786,108.7436394,VNM
vnm_266,11.22176106,108.8235891,VNM
vnm_267,11.22350483,108.7393513,VNM
vnm_268,11.22386484,108.8176077,VNM
vnm_271,11.23486609,108.7474757,VNM
vnm_272,11.23561828,108.7494989,VNM
vnm_273,11.23864289,108.747383,VNM
vnm_274,11.23967013,108.7493997,VNM
vnm_277,11.30599775,108.9159731,VNM
vnm_278,11.30611348,108.913419,VNM
vnm_279,11.30742651,108.7910867,VNM
vnm_280,11.30932991,108.913725,VNM
vnm_281,11.30983057,108.9159926,VNM
vnm_282,11.31263909,108.789449,VNM
vnm_283,11.3127065,108.7902324,VNM
vnm_285,11.32803632,108.8924848,VNM
vnm_286,11.32936518,108.8877039,VNM
vnm_287,11.32998857,108.8832414,VNM
vnm_288,11.3327193,108.8838209,VNM
vnm_289,11.33287548,108.8874781,VNM
vnm_290,11.33869325,108.8855287,VNM
vnm_291,11.34063303,108.8838727,VNM
vnm_292,11.34364231,108.8841845,VNM
Cà Ná Fishing Port,11.3441536,108.8861221,VNM
vnm_294,11.35326799,109.0067227,VNM
vnm_300,11.5422269,109.0283498,VNM
Đông Hải Fishing Port,11.54592524,109.0248958,VNM
Mỹ Tân Fishing Port,11.5813101,109.1330835,VNM
Ninh Chữ Fishing Port,11.59129985,109.0488252,VNM
vnm_304,11.5923382,109.0479585,VNM
Đá Bạc Fishing Port,11.90191007,109.1418171,VNM
vnm_306,11.90906094,109.1355818,VNM
vnm_309,12.17741143,109.220385,VNM
vnm_310,12.17855272,109.2148866,VNM
vnm_311,12.18101126,109.2201564,VNM
vnm_312,12.18225254,109.2151621,VNM
vnm_313,12.18498771,109.3089088,VNM
vnm_314,12.18722302,109.2183885,VNM
vnm_315,12.18734306,109.2137294,VNM
vnm_316,12.18873347,109.2106694,VNM
vnm_317,12.19173765,109.2091746,VNM
vnm_318,12.1918979,109.2168879,VNM
vnm_319,12.19200952,109.217955,VNM
vnm_320,12.19569972,109.2022441,VNM
Hòn Rớ Fishing Port,12.19986398,109.196996,VNM
vnm_322,12.20040055,109.2007108,VNM
vnm_323,12.20285762,109.1960798,VNM
vnm_324,12.22004855,109.2312481,VNM
vnm_325,12.22007231,109.2286389,VNM
vnm_326,12.22227568,109.2307826,VNM
Vĩnh Lương Fishing Port,12.33630442,109.2044056,VNM
vnm_332,12.56433038,109.2101349,VNM
Ninh Hai Fishing Port,12.57692152,109.2204259,VNM
vnm_341,12.58274249,109.4142228,VNM
vnm_342,12.58295944,109.4134384,VNM
vnm_345,12.66744029,109.4058516,VNM
vnm_346,12.66920577,109.4065695,VNM
Quang Hoi Fishing Port,12.69661918,109.2433234,VNM
vnm_348,12.69839934,109.2429711,VNM
Dai Lanh fishing port,12.83390995,109.364683,VNM
vnm_351,12.86910086,109.4150559,VNM
vnm_354,12.93838557,109.4344898,VNM
vnm_355,12.94359741,109.4355347,VNM
vnm_356,12.9486763,109.4389535,VNM
vnm_357,12.94927424,109.4342052,VNM
vnm_358,12.94996392,109.4220501,VNM
vnm_359,12.95102175,109.4298311,VNM
Phú Lạc Fishing Port,12.95275623,109.4185933,VNM
vnm_361,12.95374397,109.4182395,VNM
vnm_362,12.95383936,109.4287141,VNM
vnm_363,12.95445768,109.4339567,VNM
vnm_364,12.95470703,109.4232779,VNM
vnm_365,12.95854801,109.4133996,VNM
vnm_366,12.95984762,109.4127082,VNM
vnm_367,12.98169513,109.3941367,VNM
vnm_368,12.98519025,109.392379,VNM
vnm_369,12.98985699,109.3925052,VNM
vnm_370,13.07427015,109.333149,VNM
Đông Tác Fishing Port,13.07708334,109.3333328,VNM
vnm_372,13.08135839,109.3321843,VNM
vnm_373,13.08910355,109.3272358,VNM
vnm_374,13.08920253,109.3234346,VNM
Tien Chau Fishing Port,13.35255061,109.2634091,VNM
Dan Phuoc Fishing Port,13.44038358,109.2248836,VNM
vnm_378,13.44336212,109.2264536,VNM
vnm_379,13.54375934,109.2545715,VNM
vnm_391,13.76422278,109.2522887,VNM
vnm_392,13.76479488,109.2543534,VNM
vnm_393,13.76837017,109.2510816,VNM
vnm_394,13.7699072,109.2560544,VNM
vnm_395,13.77361585,109.2485452,VNM
Quy Nhon Fishing Port,13.77392439,109.2466755,VNM
vnm_397,13.7759467,109.2408206,VNM
vnm_398,13.77862267,109.2256328,VNM
vnm_399,13.7872533,109.222218,VNM
De Gi Fishing Port,14.12656692,109.2041789,VNM
