s2uid,label,iso3,anchor_lat,anchor_lon,sublabel
579798bd,"ATKA,USA",USA,52.231942,-174.172997,Atka Pride Seafoods Inc
56ff0815,"FALSEPOINT,USA",USA,54.865965,-163.408386,Bering Sea Pacific Seafoods
56c67ca5,"KENAI,USA",USA,60.548381,-151.22669,Pacific Star Seafoods
56c67caf,"KENAI,USA",USA,60.544077,-151.22304,Copper River Seafoods
56c67cc7,"KENAI,USA",USA,60.532017,-151.252875,Inlet Fish Producers
5405da7f,"KAKE,USA",USA,56.963763,-133.927006,Frederick Sound Seafood Company
540e0d4b,"HYDABURG,USA",USA,55.201691,-132.82639,Haida Wild Alaska Seafoods LLC
8085dbeb,"POINT REYES,USA",USA,37.99759222,-122.970371,
8085dbe9,"POINT REYES,USA",USA,37.99712449,-122.9736984,
8085dbc3,"POINT REYES,USA",USA,38.0001593,-122.9748062,
