port_name,country,latitude,longitude
THUNDER BAY,CA,48.4,-89.233333
LOME,TG,6.133333,1.283333
UJUNG PANDANG,ID,-5.133333,119.4
COBOURG,CA,43.95,-78.166667
PORT HOPE,CA,43.933333,-78.283333
OSHAWA,CA,43.866667,-78.816667
PORT WHITBY,CA,43.85,-78.933333
PORT CREDIT,CA,43.55,-79.583333
OAKVILLE,CA,43.433333,-79.666667
BRONTE,CA,43.4,-79.716667
PORT DALHOUSIE,CA,43.216667,-79.266667
MUUGA-PORT OF TALLIN,EE,59.5,24.95
TALLINN,EE,59.45,24.766667
PALDISKI,EE,59.35,24.033333
SCHEVENINGEN,NL,52.1,4.266667
ASHDOD,IL,31.816667,34.65
HAIFA,IL,32.816667,35
NAHA KO,JP,26.216667,127.683333
MIDWAY ISLAND,QM,28.183333,-177.366667
STEPHENVILLE,CA,48.533333,-58.533333
ZEEBRUGGE,BE,51.333333,3.2
WILLEMSTAD,CW,12.116667,-68.933333
PEMBA,MZ,-12.966667,40.5
AL AHMADI,YE,14.833333,42.966667
SALIF,YE,15.3,42.666667
MUQDISHO,SO,2.033333,45.35
KISMAAYO,SO,-0.366667,42.55
CONAKRY,GN,9.516667,-13.716667
HEYSHAM,GB,54.033333,-2.916667
MANGALIA,RO,43.816667,28.583333
CONSTANTA,RO,44.166667,28.65
COTONOU,BJ,6.35,2.433333
ROTHESAY HARBOR,GB,55.833333,-5.05
ARDROSSAN,GB,55.65,-4.816667
TROON,GB,55.55,-4.683333
HUNGNAM,KP,39.833333,127.616667
CH'AHO,KP,40.2,128.65
CHI-LUNG,TW,25.133333,121.766667
SU-AO,TW,24.6,121.866667
HUA-LIEN KANG,TW,23.983333,121.6
KAO-HSIUNG,TW,22.616667,120.25
MAILIAO,TW,23.783333,120.166667
ORMOS ALIVERIOU,GR,38.383333,24.05
VOLOS,GR,39.366667,22.95
ALEXANDROUPOLI,GR,40.833333,25.883333
NAVPLIO,GR,37.566667,22.8
AYIOS NIKOLAOS,GR,37.983333,23.533333
PIRAIEVS,GR,37.933333,23.65
LAVRIO,GR,37.7,24.066667
KAVALA,GR,40.933333,24.4
BANDAR-E SHAHID REAJIE,IR,27.1,56.066667
BANDAR ABBAS,IR,27.15,56.2
PORT POLNOCHNY,PL,54.4,18.716667
GDYNIA,PL,54.533333,18.55
MONTEVIDEO,UY,-34.9,-56.216667
PUERTO QUETZAL,GT,13.916667,-90.8
RUDKOBING,DK,54.95,10.716667
PORT SUDAN,SD,19.6,37.233333
PORTO DE LEIXOES,PT,41.183333,-8.7
SINES,PT,37.95,-8.866667
PORT LINCOLN,AU,-34.716667,135.85
ESPERANCE,AU,-33.866667,121.9
BUNBURY,AU,-33.316667,115.633333
FREMANTLE,AU,-32.05,115.75
GERALDTON,AU,-28.783333,114.6
DAMPIER,AU,-20.633333,116.716667
WHYALLA,AU,-33.033333,137.583333
NEWCASTLE,AU,-32.916667,151.783333
PORT KEMBLA,AU,-34.483333,150.916667
EDEN,AU,-37.066667,149.916667
WARRNAMBOOL,AU,-38.4,142.483333
PORTLAND,AU,-38.333333,141.6
KINGSCOTE,AU,-35.633333,137.633333
TOWNSVILLE,AU,-19.266667,146.816667
MACKAY,AU,-21.116667,149.216667
LUDERITZ BAY,NA,-26.65,15.15
DOUGLAS,GB,54.15,-4.466667
RAMSEY,GB,54.316667,-4.366667
PORTO DA PRAIA,CV,14.916667,-23.516667
MARIEL,CU,22.983333,-82.75
BAHAI DE LA HABANA,CU,23.133333,-82.366667
CAYO MOA GRANDE,CU,20.666667,-74.9
ROSSLARE,IE,52.25,-6.333333
DUBLIN,IE,53.35,-6.25
LA GOULETTE,TN,36.8,10.3
BANZART,TN,37.283333,9.883333
MERSA SFAX,TN,34.733333,10.766667
SOUSSE,TN,35.833333,10.65
GABES,TN,33.9,10.116667
ZARZIS,TN,33.5,11.116667
RADES,TN,36.816667,10.3
TABARKA,TN,36.966667,8.766667
PAARDEN BAAI - (ORANJESTAD),AW,12.516667,-70.033333
SINT NICOLAAS BAAI,AW,12.433333,-69.916667
TORRE ANNUNZIATA,IT,40.75,14.45
CASTELLAMMARE DI STABIA,IT,40.7,14.483333
SALERNO,IT,40.666667,14.75
VIBO VALENTIA MARINA,IT,38.716667,16.133333
REGGIO DI CALABRIA,IT,38.116667,15.65
PORTOVECCHIO DI PIOMBINO,IT,42.933333,10.55
PORTO SANTO STEFANO,IT,42.433333,11.116667
CIVITAVECCHIA,IT,42.1,11.783333
ANZIO,IT,41.45,12.633333
GAETA,IT,41.2,13.583333
POZZUOLI,IT,40.816667,14.116667
NAPOLI,IT,40.85,14.266667
STROMSTAD,SE,58.933333,11.166667
LYSEKIL,SE,58.266667,11.433333
VARBERG,SE,57.116667,12.25
FALKENBERG,SE,56.9,12.5
HALMSTAD,SE,56.666667,12.866667
HOGANAS,SE,56.2,12.55
HELSINGBORG,SE,56.05,12.7
MALMO,SE,55.616667,13
LIMHAMN,SE,55.583333,12.933333
TRELLEBORG,SE,55.366667,13.15
YSTAD,SE,55.433333,13.833333
KARLSKRONA,SE,56.166667,15.6
KALMAR,SE,56.666667,16.366667
PORT-VENDRES,FR,42.516667,3.116667
SETE,FR,43.4,3.7
FOS,FR,43.416667,4.883333
PORT-DE-BOUC,FR,43.4,4.983333
MARSEILLE,FR,43.316667,5.366667
SAINT-TROPEZ,FR,43.266667,6.633333
SAINT-RAPHAEL,FR,43.416667,6.766667
ANTIBES,FR,43.583333,7.133333
NICE,FR,43.7,7.283333
VILLEFRANCHE,FR,43.7,7.316667
TOULON,FR,43.1,5.916667
PORT EST,RE,-20.933333,55.316667
PORT OUEST,RE,-20.933333,55.283333
GODERICH,CA,43.75,-81.733333
PORT ELGIN,CA,44.433333,-81.4
SOUTHAMPTON,CA,44.5,-81.383333
LIONS HEAD,CA,44.983333,-81.25
MEAFORD,CA,44.616667,-80.6
THORNBURY,CA,44.566667,-80.45
COLLINGWOOD,CA,44.5,-80.233333
THESSALON,CA,46.25,-83.566667
ROTA,ES,36.616667,-6.333333
CADIZ,ES,36.533333,-6.3
ALGECIRAS,ES,36.133333,-5.433333
KUANTAN NEW PORT,MY,3.966667,103.433333
COLOMBO,LK,6.95,79.85
GALLE HARBOR,LK,6.016667,80.216667
REYKJAVIK,IS,64.15,-21.933333
GRUNDARTANGI,IS,64.266667,-22
BOLUNGAVIK,IS,66.166667,-23.233333
ALIAGA,TR,38.833333,26.933333
DAMIETTA,EG,31.483333,31.75
MERSA MATRUH,EG,31.35,27.233333
EL MAADIYA,EG,31.266667,30.15
AL ISKANDARIYH (ALEXANDRIA),EG,31.166667,29.833333
AL MUKALLA,YE,14.516667,49.116667
RINGKOBING,DK,56.083333,8.25
THYBORON,DK,56.7,8.216667
ABENRA,DK,55.05,9.433333
HORSENS,DK,55.866667,9.85
ARHUS,DK,56.15,10.216667
GRENAA HAVN,DK,56.416667,10.933333
FREDERIKSHAVN,DK,57.433333,10.55
SKAGEN HAVN,DK,57.716667,10.6
HIRTSHALS,DK,57.6,9.966667
HANSTHOLM,DK,57.133333,8.6
LEMVIG,DK,56.583333,8.283333
HOLSTEBRO-STUER,DK,56.5,8.583333
THISTED,DK,56.95,8.7
BUFFALO,US,42.883333,-78.883333
DUNKIRK,US,42.483333,-79.333333
CLEVELAND,US,41.5,-81.716667
PUERTO MOIN,CR,10,-83.083333
PUERTO LIMON,CR,9.983333,-83.016667
ARECIBO,PR,18.483333,-66.7
BAHIA DE FAJARDO,PR,18.333333,-65.633333
ENSENADA HONDA,PR,18.233333,-65.633333
BAHIA DE JOBOS,PR,17.95,-66.183333
PLAYA DE PONCE,PR,17.983333,-66.616667
PLAYA DE GUAYANILLA,PR,18.016667,-66.766667
IRAKLION,GR,35.35,25.15
RETHIMNON,GR,35.366667,24.466667
MERSIN,TR,36.8,34.633333
ISKENDERUN,TR,36.6,36.166667
ANTALYA,TR,36.833333,30.616667
TASUCU,TR,36.316667,33.883333
HOPA,TR,41.416667,41.4
RIZE,TR,41.066667,40.516667
TRABZON,TR,41.016667,39.766667
GIRESUN,TR,40.933333,38.4
SAMSUN,TR,41.3,36.35
INEBOLU,TR,41.983333,33.766667
ZONGULDAK,TR,41.466667,31.816667
EREGLI,TR,41.3,31.45
HAYDARPASA,TR,41,29.016667
DERINCE BURNU,TR,40.75,29.816667
GOLCUK BURNU,TR,40.733333,29.816667
BANDIRMA,TR,40.35,27.966667
NEMRUT LIMANI BAY,TR,38.766667,26.916667
MARMARIS,TR,36.85,28.283333
FETHIYE,TR,36.633333,29.1
YAKACIK,TR,36.716667,36.183333
GULLUK,TR,37.25,27.616667
PORT VILA,VU,-17.733333,168.316667
SOURIS HARBOUR,CA,46.35,-62.25
BUR SAFAGA,EG,26.733333,33.95
AS SUWAYS,EG,29.966667,32.55
NORTH AIN SUKHNA PORT,EG,29.65,32.366667
SOKHNA PORT GAS TANKER TERMINAL,EG,29.683333,32.366667
SABANG,ID,5.883333,95.316667
PUERTO BOLIVAR,CO,12.25,-71.966667
GUAYMAS,MX,27.916667,-110.916667
SANTA ROSALIA,MX,27.333333,-112.283333
ENSENADA,MX,31.866667,-116.633333
MANZANILLO,MX,19.05,-104.316667
