s2id,latitude,longitude,label,sublabel,iso3
31a40a17,8.611342881,105.0121872,vnm_1,,VNM
31a40a1b,8.617432329,105.0176344,vnm_2,,VNM
3198a87b,8.651895949,106.5727845,Con Dao Fishing Port,,VNM
3198a871,8.654001628,106.5672751,vnm_8,,VNM
3198a86f,8.657348822,106.567145,Ben Dam Fishing Port,,VNM
3198a86d,8.658669563,106.5626533,vnm_10,,VNM
3198a86b,8.662904906,106.5609716,vnm_12,,VNM
3198a815,8.663872359,106.5574275,vnm_13,,VNM
3198a841,8.667920273,106.5598497,vnm_15,,VNM
3198a83f,8.668199398,106.5563571,vnm_16,,VNM
31a89f5b,9.296705166,103.4668456,vnm_18,,VNM
31a89f5d,9.297165302,103.4721182,vnm_19,,VNM
31a89f43,9.301978097,103.4706284,vnm_20,,VNM
31a02a11,9.573027822,106.517996,vnm_28,,VNM
31a02a17,9.575171225,106.5152212,vnm_30,,VNM
31a02a27,9.583580565,106.5028976,vnm_33,,VNM
31a02a21,9.583969319,106.5065268,vnm_34,,VNM
31a029a3,9.612517525,106.4989468,vnm_35,,VNM
31a0316d,9.615941541,106.2862748,Định An Fishing Port,,VNM
31a02923,9.626264638,106.4634754,vnm_37,,VNM
31a02919,9.626405738,106.4647006,vnm_38,,VNM
31a027f7,9.682861584,106.5339572,Láng Chim Fishing Port,,VNM
31a7bded,9.94775173,104.0280813,vnm_40,,VNM
31a7bdfd,9.95111645,104.0100796,vnm_41,,VNM
31a7bdf3,9.952537894,104.0269707,vnm_42,,VNM
31a79617,9.97511194,104.0286824,vnm_43,,VNM
31a79615,9.978156154,104.0281215,vnm_44,,VNM
31a7967b,9.996097409,104.0165277,vnm_45,,VNM
31a7967d,10.00012027,104.0152145,vnm_46,,VNM
31a796f7,10.00453488,104.0378867,vnm_47,,VNM
31a796f5,10.00522351,104.0333364,vnm_48,,VNM
31a79687,10.00896158,104.0166255,vnm_49,,VNM
31a79689,10.00909502,104.0196221,vnm_50,,VNM
31a7968f,10.01261905,104.0206718,vnm_52,,VNM
31a79429,10.01391573,104.0049765,vnm_53,,VNM
31a7969b,10.01625045,104.0162371,vnm_54,,VNM
31a79691,10.01626087,104.0225993,vnm_55,,VNM
31a7969d,10.01833439,104.0087688,vnm_56,,VNM
31a79427,10.01845838,104.0044959,vnm_57,,VNM
31a7969f,10.02187128,104.0075728,vnm_59,,VNM
31a79421,10.02317524,104.0039152,vnm_60,,VNM
317557e7,10.18983956,106.7023628,vnm_63,,VNM
317557e9,10.19410246,106.7043034,vnm_66,,VNM
317557ef,10.19643075,106.7064928,vnm_68,,VNM
317557ed,10.1996927,106.7081705,vnm_71,,VNM
31755793,10.20387352,106.7070141,vnm_73,,VNM
31755795,10.20470021,106.7051721,vnm_74,,VNM
317557bd,10.21062418,106.6957939,vnm_75,,VNM
317557bb,10.2124294,106.6918679,vnm_76,,VNM
317557af,10.21621639,106.6851104,vnm_77,,VNM
31755785,10.21668985,106.7169865,vnm_78,,VNM
317557ad,10.21796414,106.6805627,vnm_79,,VNM
31755655,10.22087992,106.673757,vnm_80,,VNM
31756567,10.32609924,107.0733418,vnm_81,,VNM
31756565,10.32733738,107.0704258,vnm_82,,VNM
31756f87,10.33857666,107.0623009,vnm_86,,VNM
31756f89,10.33951658,107.0702983,vnm_87,,VNM
31756f8d,10.3435834,107.072342,vnm_88,,VNM
31756f8f,10.34371685,107.069344,vnm_89,,VNM
31756f85,10.34373168,107.064324,vnm_90,,VNM
310aafb5,10.34569747,106.3913396,vnm_91,,VNM
31756f91,10.34600784,107.0683868,vnm_92,,VNM
31756f9b,10.34725424,107.0637793,vnm_93,,VNM
310aafb9,10.34758935,106.378325,vnm_94,,VNM
310aafbf,10.34903004,106.3722035,vnm_95,,VNM
310aafc7,10.35058213,106.3782897,vnm_96,,VNM
31756fa1,10.3587274,107.0546736,vnm_97,,VNM
31756f0b,10.35891318,107.0535707,vnm_98,,VNM
31756fa7,10.36505845,107.0552503,vnm_99,,VNM
31756f09,10.36511131,107.0521452,vnm_100,,VNM
31756f07,10.37037924,107.0519553,Binh Dai Fishing Port,,VNM
31756f01,10.37641447,107.0507708,vnm_107,,VNM
31756fb3,10.37707277,107.0698989,vnm_109,,VNM
31756e4b,10.37890531,107.0722709,vnm_114,,VNM
317542fb,10.38064784,106.8752601,vnm_119,,VNM
31756eff,10.38109655,107.0505208,vnm_120,,VNM
317542f1,10.38171967,106.8778506,vnm_122,,VNM
317542f3,10.38258813,106.8843268,vnm_123,,VNM
317542f5,10.38285679,106.8837336,vnm_124,,VNM
317542f7,10.38311961,106.8809219,vnm_126,,VNM
31756e4f,10.38623977,107.0663585,vnm_132,,VNM
31756e51,10.38692914,107.064091,vnm_133,,VNM
31756ef9,10.38736925,107.0523104,vnm_134,,VNM
31756e57,10.38897343,107.0560789,vnm_135,,VNM
31756e5b,10.39113773,107.0630738,vnm_138,,VNM
31756e59,10.39125699,107.0574664,vnm_139,,VNM
31756ef7,10.39215857,107.0525367,vnm_140,,VNM
31757145,10.40308567,107.1793579,vnm_145,,VNM
3175715b,10.40498735,107.1807962,vnm_147,,VNM
317576a5,10.40529547,107.2103946,My Tho fishing port,,VNM
31757151,10.40674757,107.1864123,vnm_150,,VNM
317545b3,10.40694714,106.7676518,vnm_151,,VNM
3175444d,10.40860762,106.7732408,Vàm Láng Fishing Port,,VNM
31757157,10.41150406,107.1888361,vnm_153,,VNM
31754449,10.41172038,106.7803428,vnm_154,,VNM
3175718b,10.41429176,107.129754,Cat Lo Fishing Port 1,,VNM
31757189,10.41436656,107.1320349,Cat Lo Fishing Port 2,,VNM
3175444b,10.41459899,106.7751165,vnm_159,,VNM
31757403,10.41615052,107.2062848,vnm_160,,VNM
31754435,10.41649846,106.7760344,vnm_161,,VNM
3175741d,10.41752002,107.2090775,vnm_163,,VNM
317573fd,10.41754906,107.1877475,vnm_164,,VNM
31757401,10.41878777,107.2003005,vnm_165,,VNM
3175722b,10.41889675,107.1458328,vnm_166,,VNM
317573f9,10.42083083,107.1932069,vnm_168,,VNM
31759fab,10.45390077,107.3342978,vnm_172,,VNM
31759f07,10.4567087,107.3385401,vnm_174,,VNM
31759f05,10.45965508,107.3467823,vnm_175,,VNM
31759f0f,10.46144154,107.3487938,vnm_176,,VNM
31759f11,10.46232435,107.3500816,vnm_177,,VNM
31754897,10.46518682,106.7087562,vnm_178,,VNM
31759f13,10.46617051,107.3516625,vnm_179,,VNM
317549af,10.49556655,106.6693311,vnm_189,,VNM
3177b127,10.49739789,108.9471377,vnm_191,,VNM
3177b0db,10.49796035,108.9591634,vnm_192,,VNM
3177b125,10.49809374,108.9416251,vnm_193,,VNM
3177b0d9,10.49911576,108.9513766,vnm_196,,VNM
3177b0df,10.50206112,108.9516987,vnm_197,,VNM
3177b117,10.51020875,108.9347066,vnm_200,,VNM
3177b0ed,10.51424625,108.972058,vnm_201,,VNM
