s2id,latitude,longitude,label,sublabel,iso3
91166341,-15.351587799115045,-75.17376931061946,Acari,,PER
910688c7,-11.582425089615587,-77.27313556568791,Chancay,,PER
9049e0db,-5.068767045897552,-81.12705468505547,Paita,,PER
9105cdc9,-11.99368,-77.124155,Callao,,PER
904cfb35,-6.878065,-79.92394857142857,Santa Rosa,,PER
91ac7fdf,-8.986739058823531,-78.65409129411765,Puerto de Santa,,PER
90497ef5,-5.717429499106507,-80.85879001088148,Mata Cavallo,,PER
913fed01,-16.228971554777793,-73.69899575182758,La Punta,,PER
91ab9a5b,-9.235954625,-78.503836875,Samanco,,PER
9049e0c9,-5.073009626814606,-81.14043645210036,Paita,,PER
90497ee7,-5.704862755555556,-80.87108177185186,Mata Cavallo,,PER
90340053,-3.7343879704918024,-80.77406460357672,Acapulco,,PER
90497c51,-5.773252136035886,-80.86501461350201,Parachique,,PER
9036f2c3,-4.2129241046880495,-81.18057666818825,Ñuro,,PER
91ab83e3,-9.102581421283869,-78.5804194959726,Chimbote,,PER
91ad191f,-8.218394680517445,-78.97118321311903,Salaverry,,PER
9106df57,-11.088962365955295,-77.64294624260896,Carquin,,PER
91445b0f,-17.641751929920634,-71.34623758456846,Ilo,,PER
91107b17,-13.773553135094541,-76.29641794449127,PISCO,,PER
91107b11,-13.773419075590708,-76.30264314575254,PISCO,,PER
9105cc99,-12.039992236590283,-77.1679603445948,Callao,,PER
9105cc9f,-12.042649148265754,-77.16731098499999,Callao,,PER
91ab8075,-9.017403125112532,-78.63138235397234,Coishco,,PER
91ab8073,-9.02025617244466,-78.63139012753788,Coishco,,PER
91ab8071,-9.020368679474828,-78.62775209516437,Coishco,,PER
91415adf,-17.00271650856902,-72.12084581701698,MATARANI,,PER
91415b21,-16.99872760321308,-72.12061026617991,MATARANI,,PER
91445b59,-17.615777228422893,-71.36821715220188,Ilo,,PER
91445b51,-17.622938914195252,-71.37360005128102,Ilo,,PER
91445b5b,-17.622393645316848,-71.3681353429292,Ilo,,PER
91445b57,-17.61563101170607,-71.37248797133311,Ilo,,PER
91059fd9,-12.475367475269588,-76.79267473833843,Pucusana,,PER
9105ccb3,-12.032836528462507,-77.19068107073127,Callao,,PER
9105ccb5,-12.028402322409287,-77.19164411685898,Callao,,PER
9105ccb1,-12.032933025403947,-77.18598876867296,Callao,,PER
9105ccb7,-12.028583436987747,-77.18609148393271,Callao,,PER
9049e10d,-5.048892017818587,-81.10133161581159,Paita,,PER
9049e113,-5.053285785161833,-81.10117043279348,Paita,,PER
9105cc9b,-12.037861129927746,-77.16300695354705,Callao,,PER
9105cc9d,-12.043458810667675,-77.16317889861573,Callao,,PER
91ab83dd,-9.106063082398292,-78.59144066014944,Chimbote,,PER
91ab83e7,-9.105741999596663,-78.58609421285594,Chimbote,,PER
91415b35,-16.98338332036528,-72.13769314889754,MATARANI,,PER
91415b4b,-16.977974488260873,-72.13859788290777,BAHIA DE MATARANI,,PER
9110037f,-13.259430506692382,-76.31388825199879,MELCHORITA,,PER
91aa1687,-10.093719752561675,-78.19256086420087,HUARMEY,,PER
904970d1,-5.751519301876249,-81.02299855071085,PE PUB,,PER
903645eb,-4.574059221183344,-81.320023957042,TALARA,,PER
91aa168d,-10.098758151879371,-78.18146578148091,Huarney,,PER
904971bd,-5.797806230074406,-81.05012320572352,BAYOVAR,,PER
9106df05,-11.1232222222,-77.6148055556,Huacho,,PER
91ab81a1,-9.07383333333,-78.6115555556,Chimbote,,PER
9105cd89,-11.960944984519028,-77.1338238500461,Callao,,PER
9105cd85,-11.963113598522591,-77.14206579628657,Callao,,PER
9105cd87,-11.960091022347587,-77.14150924256445,Callao,,PER
9105cd83,-11.963424803170216,-77.14489123355138,Callao,,PER
9105cd81,-11.960415212652304,-77.14495530770276,Callao,,PER
9049e10f,-5.0491062194060365,-81.10575740878843,Paita,,PER
9049e11b,-5.053457764819929,-81.1106267274516,Paita,,PER
9049e111,-5.053474635161925,-81.10556750673955,Paita,,PER
9104334b,-12.029179150997887,-77.19757604815162,Callao,,PER
9104334d,-12.032722220451202,-77.19731617288105,Callao,,PER
9104334f,-12.032636516817458,-77.20277101566352,Callao,,PER
91043349,-12.029084538782584,-77.20296256572348,Callao,,PER
9106df11,-11.117525887738418,-77.62298378604244,Huacho,,PER
9105cd25,-11.995061737057839,-77.18039310658602,Callao,,PER
9105ccd9,-12.004817601710595,-77.18053461423465,Callao,,PER
9105cd27,-12.000100870941356,-77.180356989519,Callao,,PER
9105cd21,-11.999860609324122,-77.1758236727452,Callao,,PER
914467f3,-17.5111388889,-71.3615277778,TABLONES,,PER
9049e115,-5.0579848890859065,-81.10121211804488,Paita,,PER
910432e3,-12.002362842131019,-77.22527152553481,Callao,,PER
910432e5,-11.997158616809603,-77.22595753270016,Callao,,PER
910432fd,-12.002481809403758,-77.23094283693561,Callao,,PER
91ab8161,-9.096342454734708,-78.59112175361216,Chimbote,,PER
91ab83df,-9.101409130319361,-78.59130587153183,Chimbote,,PER
91ab83e1,-9.100674756689848,-78.58622823393551,Chimbote,,PER
91168bdb,-15.228296702538556,-75.2562101740305,San Nicolas,,PER
9105ccc9,-12.022705067840125,-77.18576246562478,Callao,,PER
9105cccb,-12.023097088272637,-77.19163422392178,Callao,,PER
9105cccf,-12.017385217148288,-77.18573568207323,Callao,,PER
9105cccd,-12.017915881566555,-77.1918478734387,Callao,,PER
91ab83f1,-9.112338388130162,-78.57622487534246,Chimbote,,PER
9105ccbb,-12.033357117495413,-77.18108000440634,Callao,,PER
9105ccb9,-12.02788269552444,-77.18045259992091,Callao,,PER
9049e0b1,-5.0746268909319925,-81.14803365345078,Paita,,PER
9049e0b7,-5.074995713902135,-81.14672915243864,Paita,,PER
91043331,-12.018002971630509,-77.20242954555201,Callao,,PER
91043335,-12.023339893515942,-77.1973332608975,Callao,,PER
91043333,-12.01781802388373,-77.1974978042404,Callao,,PER
91043337,-12.023503922833553,-77.20271159758299,Callao,,PER
9036444d,-4.5641889237729565,-81.29221078334628,TALARA,,PER
91abbbe3,-9.45580555556,-78.3861388889,Casma,,PER
904cfabf,-6.83652777778,-79.9382777778,Pimentel,,PER
9105cced,-12.02258214835902,-77.16363072899613,Callao,,PER
910432c1,-11.98530062994391,-77.21415567898975,Callao,,PER
910432c3,-11.990706418663132,-77.21393152698373,Callao,,PER
9105cd3b,-11.989124251368638,-77.18056052866362,Callao,,PER
910432c5,-11.990305200829832,-77.2093448709025,Callao,,PER
910432c7,-11.985426378067576,-77.20904027173948,Callao,,PER
91107b3d,-13.772953587014923,-76.29214159055057,PISCO,,PER
91ab83db,-9.106086082739033,-78.59768000776891,Chimbote,,PER
91ab83d1,-9.106633216357624,-78.60271707354528,Chimbote,,PER
